BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;11.04.2011;Индекс МосБиржи;Индекс МосБиржи;1845,78;1855,97;1864,59;1836,86;55205737888;;;2;;RUB;;3;
SNDX;IMOEX;12.04.2011;Индекс МосБиржи;Индекс МосБиржи;1799,94;1845,78;1845,78;1792,33;70722730678;;;2;;RUB;;3;
SNDX;IMOEX;13.04.2011;Индекс МосБиржи;Индекс МосБиржи;1809,83;1799,94;1810,44;1786,62;70371719716;;;2;;RUB;;3;
SNDX;IMOEX;14.04.2011;Индекс МосБиржи;Индекс МосБиржи;1781,51;1809,83;1809,83;1765,15;61034552422;;;2;;RUB;;3;
SNDX;IMOEX;15.04.2011;Индекс МосБиржи;Индекс МосБиржи;1780,36;1781,5;1792,99;1772,04;54154905300;;;2;;RUB;;3;
SNDX;IMOEX;18.04.2011;Индекс МосБиржи;Индекс МосБиржи;1714,07;1780,36;1784,44;1707,65;70856862156;;;2;;RUB;;3;
SNDX;IMOEX;19.04.2011;Индекс МосБиржи;Индекс МосБиржи;1755,63;1714,08;1756,67;1714,08;57535426780;;;2;;RUB;;3;
SNDX;IMOEX;20.04.2011;Индекс МосБиржи;Индекс МосБиржи;1783,38;1755,63;1785,49;1755,63;56634743285;;;2;;RUB;;3;
SNDX;IMOEX;21.04.2011;Индекс МосБиржи;Индекс МосБиржи;1780,6;1783,59;1799,09;1770,91;48314261844;;;2;;RUB;;3;
SNDX;IMOEX;22.04.2011;Индекс МосБиржи;Индекс МосБиржи;1793,96;1780,6;1797,53;1780,14;23791974843;;;2;;RUB;;3;
SNDX;IMOEX;25.04.2011;Индекс МосБиржи;Индекс МосБиржи;1769,94;1793,96;1814,07;1767,36;44224606631;;;2;;RUB;;3;
SNDX;IMOEX;26.04.2011;Индекс МосБиржи;Индекс МосБиржи;1766,28;1769,94;1774,52;1746,38;52260456824;;;2;;RUB;;3;
